item_id	checkbox_state	claim_state	assigned_agent	tmux_session	slot	path_type	path	dependencies	owned_path_scope	worker_output	master_status
IMPL_DCCB_LOOP-HZ-001	[x]	finished	agent_01	humanize_impl-dccb-loop_1to1_20260619	01	directory	.		.	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_01/output.md	accepted
IMPL_DCCB_LOOP-HZ-002	[x]	finished	agent_02	humanize_impl-dccb-loop_1to1_20260619	02	directory	commands		commands	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_02/output.md	accepted
IMPL_DCCB_LOOP-HZ-003	[x]	finished	agent_03	humanize_impl-dccb-loop_1to1_20260619	03	directory	hooks		hooks	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_03/output.md	accepted
IMPL_DCCB_LOOP-HZ-004	[x]	finished	agent_04	humanize_impl-dccb-loop_1to1_20260619	04	directory	scripts		scripts	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_04/output.md	accepted
IMPL_DCCB_LOOP-HZ-005	[x]	finished	agent_05	humanize_impl-dccb-loop_1to1_20260619	05	file	README.md		README.md	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_05/output.md	accepted
IMPL_DCCB_LOOP-HZ-006	[x]	finished	agent_06	humanize_impl-dccb-loop_1to1_20260619	06	directory	hooks/lib		hooks/lib	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_06/output.md	accepted
IMPL_DCCB_LOOP-HZ-007	[x]	finished	agent_07	humanize_impl-dccb-loop_1to1_20260619	07	file	commands/cancel-dccb-loop.md		commands/cancel-dccb-loop.md	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_07/output.md	accepted
IMPL_DCCB_LOOP-HZ-008	[x]	finished	agent_08	humanize_impl-dccb-loop_1to1_20260619	08	file	commands/cancel-rlcr-loop.md		commands/cancel-rlcr-loop.md	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_08/output.md	accepted
IMPL_DCCB_LOOP-HZ-009	[x]	finished	agent_09	humanize_impl-dccb-loop_1to1_20260619	09	file	commands/start-dccb-loop.md		commands/start-dccb-loop.md	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_09/output.md	accepted
IMPL_DCCB_LOOP-HZ-010	[x]	finished	agent_10	humanize_impl-dccb-loop_1to1_20260619	10	file	commands/start-rlcr-loop.md		commands/start-rlcr-loop.md	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_10/output.md	accepted
IMPL_DCCB_LOOP-HZ-011	[x]	finished	agent_11	humanize_impl-dccb-loop_1to1_20260619	11	file	hooks/check-todos-from-transcript.py		hooks/check-todos-from-transcript.py	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_11/output.md	accepted
IMPL_DCCB_LOOP-HZ-012	[x]	finished	agent_12	humanize_impl-dccb-loop_1to1_20260619	12	file	hooks/hooks.json		hooks/hooks.json	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_12/output.md	accepted
IMPL_DCCB_LOOP-HZ-013	[x]	finished	agent_13	humanize_impl-dccb-loop_1to1_20260619	13	file	hooks/loop-bash-validator.sh		hooks/loop-bash-validator.sh	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_13/output.md	accepted
IMPL_DCCB_LOOP-HZ-014	[x]	finished	agent_14	humanize_impl-dccb-loop_1to1_20260619	14	file	hooks/loop-codex-stop-hook.sh		hooks/loop-codex-stop-hook.sh	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_14/output.md	accepted
IMPL_DCCB_LOOP-HZ-015	[x]	finished	agent_15	humanize_impl-dccb-loop_1to1_20260619	15	file	hooks/loop-dccb-stop-hook.sh		hooks/loop-dccb-stop-hook.sh	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_15/output.md	accepted
IMPL_DCCB_LOOP-HZ-016	[x]	finished	agent_16	humanize_impl-dccb-loop_1to1_20260619	16	file	hooks/loop-edit-validator.sh		hooks/loop-edit-validator.sh	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_16/output.md	accepted
IMPL_DCCB_LOOP-HZ-017	[x]	finished	agent_17	humanize_impl-dccb-loop_1to1_20260619	17	file	hooks/loop-read-validator.sh		hooks/loop-read-validator.sh	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_17/output.md	accepted
IMPL_DCCB_LOOP-HZ-018	[x]	finished	agent_18	humanize_impl-dccb-loop_1to1_20260619	18	file	hooks/loop-write-validator.sh		hooks/loop-write-validator.sh	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_18/output.md	accepted
IMPL_DCCB_LOOP-HZ-019	[x]	finished	agent_19	humanize_impl-dccb-loop_1to1_20260619	19	file	scripts/humanize.sh		scripts/humanize.sh	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_19/output.md	accepted
IMPL_DCCB_LOOP-HZ-020	[x]	finished	agent_20	humanize_impl-dccb-loop_1to1_20260619	20	file	scripts/portable-timeout.sh		scripts/portable-timeout.sh	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_20/output.md	accepted
IMPL_DCCB_LOOP-HZ-021	[x]	finished	agent_21	humanize_impl-dccb-loop_1to1_20260619	21	file	scripts/setup-dccb-loop.sh		scripts/setup-dccb-loop.sh	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_21/output.md	accepted
IMPL_DCCB_LOOP-HZ-022	[x]	finished	agent_22	humanize_impl-dccb-loop_1to1_20260619	22	file	scripts/setup-rlcr-loop.sh		scripts/setup-rlcr-loop.sh	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_22/output.md	accepted
IMPL_DCCB_LOOP-HZ-023	[x]	finished	agent_23	humanize_impl-dccb-loop_1to1_20260619	23	file	hooks/lib/loop-common.sh		hooks/lib/loop-common.sh	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_23/output.md	accepted
