item_id	checkbox_state	claim_state	assigned_agent	tmux_session	slot	path_type	path	dependencies	owned_path_scope	worker_output	master_status
DEV-HZ-001	[x]	finished	agent_01	humanize_dev_1to1_20260619	01	directory	.		.	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_01/output.md	accepted
DEV-HZ-002	[x]	finished	agent_02	humanize_dev_1to1_20260619	02	directory	agents		agents	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_02/output.md	accepted
DEV-HZ-003	[x]	finished	agent_03	humanize_dev_1to1_20260619	03	directory	commands		commands	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_03/output.md	accepted
DEV-HZ-004	[x]	finished	agent_04	humanize_dev_1to1_20260619	04	directory	config		config	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_04/output.md	accepted
DEV-HZ-005	[x]	finished	agent_05	humanize_dev_1to1_20260619	05	directory	docs		docs	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_05/output.md	accepted
DEV-HZ-006	[x]	finished	agent_06	humanize_dev_1to1_20260619	06	directory	hooks		hooks	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_06/output.md	accepted
DEV-HZ-007	[x]	finished	agent_07	humanize_dev_1to1_20260619	07	directory	prompt-template		prompt-template	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_07/output.md	accepted
DEV-HZ-008	[x]	finished	agent_08	humanize_dev_1to1_20260619	08	directory	scripts		scripts	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_08/output.md	accepted
DEV-HZ-009	[x]	finished	agent_09	humanize_dev_1to1_20260619	09	directory	skills		skills	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_09/output.md	accepted
DEV-HZ-010	[x]	finished	agent_10	humanize_dev_1to1_20260619	10	directory	templates		templates	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_10/output.md	accepted
DEV-HZ-011	[x]	finished	agent_11	humanize_dev_1to1_20260619	11	directory	tests		tests	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_11/output.md	accepted
DEV-HZ-012	[x]	finished	agent_12	humanize_dev_1to1_20260619	12	file	README.md		README.md	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_12/output.md	accepted
DEV-HZ-013	[x]	finished	agent_13	humanize_dev_1to1_20260619	13	directory	hooks/lib		hooks/lib	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_13/output.md	accepted
DEV-HZ-014	[x]	finished	agent_14	humanize_dev_1to1_20260619	14	directory	prompt-template/block		prompt-template/block	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_14/output.md	accepted
DEV-HZ-015	[x]	finished	agent_15	humanize_dev_1to1_20260619	15	directory	prompt-template/claude		prompt-template/claude	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_15/output.md	accepted
DEV-HZ-016	[x]	finished	agent_16	humanize_dev_1to1_20260619	16	directory	prompt-template/codex		prompt-template/codex	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_16/output.md	accepted
DEV-HZ-017	[x]	finished	agent_17	humanize_dev_1to1_20260619	17	directory	prompt-template/explore		prompt-template/explore	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_17/output.md	accepted
DEV-HZ-018	[x]	finished	agent_18	humanize_dev_1to1_20260619	18	directory	prompt-template/idea		prompt-template/idea	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_18/output.md	accepted
DEV-HZ-019	[x]	finished	agent_19	humanize_dev_1to1_20260619	19	directory	prompt-template/plan		prompt-template/plan	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_19/output.md	accepted
DEV-HZ-020	[x]	finished	agent_20	humanize_dev_1to1_20260619	20	directory	scripts/lib		scripts/lib	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_20/output.md	accepted
DEV-HZ-021	[x]	finished	agent_21	humanize_dev_1to1_20260619	21	directory	skills/ask-codex		skills/ask-codex	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_21/output.md	accepted
DEV-HZ-022	[x]	finished	agent_22	humanize_dev_1to1_20260619	22	directory	skills/ask-gemini		skills/ask-gemini	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_22/output.md	accepted
DEV-HZ-023	[x]	finished	agent_23	humanize_dev_1to1_20260619	23	directory	skills/humanize		skills/humanize	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_23/output.md	accepted
DEV-HZ-024	[x]	finished	agent_24	humanize_dev_1to1_20260619	24	directory	skills/humanize-gen-plan		skills/humanize-gen-plan	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_24/output.md	accepted
DEV-HZ-025	[x]	finished	agent_25	humanize_dev_1to1_20260619	25	directory	skills/humanize-refine-plan		skills/humanize-refine-plan	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_25/output.md	accepted
DEV-HZ-026	[x]	finished	agent_26	humanize_dev_1to1_20260619	26	directory	skills/humanize-rlcr		skills/humanize-rlcr	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_26/output.md	accepted
DEV-HZ-027	[x]	finished	agent_27	humanize_dev_1to1_20260619	27	directory	tests/robustness		tests/robustness	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_27/output.md	accepted
DEV-HZ-028	[x]	finished	agent_28	humanize_dev_1to1_20260619	28	file	agents/bitlesson-selector.md		agents/bitlesson-selector.md	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_28/output.md	accepted
DEV-HZ-029	[x]	finished	agent_29	humanize_dev_1to1_20260619	29	file	agents/draft-relevance-checker.md		agents/draft-relevance-checker.md	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_29/output.md	accepted
DEV-HZ-030	[x]	finished	agent_30	humanize_dev_1to1_20260619	30	file	agents/plan-compliance-checker.md		agents/plan-compliance-checker.md	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_30/output.md	accepted
DEV-HZ-031	[x]	finished	agent_01	humanize_dev_1to1_20260619	01	file	agents/plan-understanding-quiz.md		agents/plan-understanding-quiz.md	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_01/output.md	accepted
DEV-HZ-032	[x]	finished	agent_02	humanize_dev_1to1_20260619	02	file	commands/cancel-rlcr-loop.md		commands/cancel-rlcr-loop.md	research_runs/2026-06-19_humanize_branch_1to1/agents/agent_02/output.md	accepted
